Frame,Predict
34,j1
35,j1
36,j1
37,t
38,t
39,j1
40,j1
41,j1
42,j1
43,j1
44,j1
45,j1
46,j1
47,j1
48,j1
49,j1
50,j1
51,j1
52,j1
53,j1
54,j1
55,j1
56,j1
57,j1
58,j1
59,j1
60,j1
61,j1
62,j1
63,j1
64,j1
65,j1
66,j1
67,j1
68,j1
69,j1
70,j1
71,j1
72,j1
73,j1
74,j1
75,j1
76,j1
77,j1
78,j1
79,j1
80,j1
81,t
82,t
83,t
84,t
85,t
86,t
87,a
88,t
89,y1
90,y1
91,y1
92,y1
93,y1
94,y1
95,y1
96,y1
97,y1
98,y1
99,y1
100,g
101,y1
102,y1
103,g
104,g
105,g
106,g
107,y1
108,y1
109,y1
110,y1
111,y1
112,y1
113,y1
114,y1
115,y1
116,y1
117,y1
118,y1
119,y1
120,y1
121,y1
122,y1
123,y1
124,y1
125,y1
126,y1
127,y1
128,y1
129,y1
130,y1
131,y1
132,y1
133,y1
134,y1
135,y1
136,y1
137,y1
138,y1
139,y1
140,y1
141,y1
142,y1
143,y1
144,y1
145,q
146,c
147,y1
