Frame,Predict
23,s
24,s
25,n
26,t
27,n
28,n
29,n
30,n
31,n
32,n
33,n
34,n
35,n
36,n
37,n
38,n
39,n
40,n
41,n
42,n
43,n
44,n
45,n
46,n
47,n
48,n
49,n
50,n
51,n
52,n
53,n
54,n
55,n
56,n
57,n
58,n
59,n
60,n
61,n
62,n
63,n
64,n
65,n
66,n
67,n
68,n
69,n
70,n
71,n
72,n
73,n
74,n
75,n
76,n
77,n
78,n
79,n
80,t
81,l
82,t
83,l
84,l
85,l
86,l
87,l
88,l
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,t
162,t
163,t
164,t
