Frame,Predict
13,p
14,p
15,p
16,p
17,p
18,p
19,p
20,p
21,q
22,q
23,p
24,p
25,q
26,q
27,q
28,p
29,q
30,q
31,p
32,q
33,p
34,p
35,p
36,p
37,p
38,p
39,q
40,q
41,p
42,p
43,p
44,p
45,p
46,p
47,p
48,p
49,q
50,p
51,p
52,p
53,p
54,p
55,p
56,p
57,p
58,p
59,p
60,p
61,p
62,p
63,p
64,p
65,p
66,p
67,p
68,p
69,l
70,l
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,3
81,2
82,2
83,2
84,2
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,2
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,2
106,2
107,3
108,2
109,3
110,3
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,3
120,3
121,2
122,2
123,q
124,q
