Frame,Predict
19,3
20,m
21,m
22,m
23,s
24,s
25,s
26,s
27,s
28,s
29,s
30,s
31,s
32,s
33,s
34,s
35,s
36,s
37,s
38,s
39,s
40,s
41,s
42,s
43,s
44,s
45,s
46,s
47,s
48,s
49,s
50,s
51,s
52,s
53,s
54,s
55,s
56,s
57,s
58,s
59,s
60,s
61,s
62,s
63,s
64,s
65,s
66,s
67,s
68,s
69,s
70,s
71,s
72,s
73,3
74,k
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,t
131,t
132,t
133,q
134,q
