Frame,Predict
41,q
42,p
43,q
44,p
45,p
46,p
47,p
48,p
49,p
50,p
51,p
52,p
53,p
54,f
55,f
56,p
57,p
58,p
59,p
60,p
61,p
62,p
63,p
64,p
65,p
66,p
67,p
68,p
69,p
70,p
71,q
72,p
73,p
74,p
75,q
76,p
77,p
78,p
79,p
80,p
81,p
82,p
83,p
84,p
85,p
86,p
87,p
88,p
89,p
90,p
91,p
92,p
93,p
94,p
95,p
96,q
97,q
98,q
99,q
100,p
101,p
102,p
103,p
104,p
105,p
106,p
107,p
108,g
109,2
110,3
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,3
151,3
152,3
153,3
154,3
155,3
156,3
157,3
158,3
159,3
160,f
161,f
162,m
163,p
164,p
165,p
166,p
167,p
