Frame,Predict
61,3
62,3
63,3
64,3
65,g
66,h
67,2
68,m
69,m
70,q
71,m
72,q
73,q
74,m
75,q
76,q
77,m
78,q
79,q
80,w
81,w
82,w
83,w
84,m
85,m
86,m
87,m
88,m
89,m
90,m
91,m
92,m
93,m
94,m
95,m
96,m
97,m
98,m
99,m
100,m
101,m
102,m
103,m
104,m
105,m
106,m
107,m
108,m
109,m
110,m
111,m
112,m
113,m
114,q
115,m
116,m
117,m
118,m
119,q
120,m
121,m
122,m
123,m
124,m
125,m
126,m
127,m
128,m
129,m
130,m
131,m
132,m
133,m
134,m
135,m
136,m
137,m
138,m
139,m
140,m
141,m
142,m
143,m
144,m
145,m
146,m
147,m
148,m
149,m
150,m
151,m
152,m
153,m
154,m
155,m
156,m
157,m
158,m
159,m
160,m
161,m
162,m
163,m
164,m
165,m
166,m
167,m
168,m
169,m
170,m
171,m
172,m
173,m
174,m
175,m
176,m
177,m
178,m
179,m
180,m
181,m
182,m
183,m
184,m
185,m
186,m
187,m
188,m
189,m
190,m
191,m
192,m
193,m
194,m
195,m
196,p
197,p
198,h
