Frame,Predict
28,y1
29,p
30,p
31,p
32,d
33,d
34,3
35,3
36,w
37,w
38,w
39,w
40,w
41,w
42,w
43,w
44,w
45,w
46,w
47,w
48,w
49,w
50,w
51,w
52,w
53,w
54,w
55,w
56,w
57,w
58,w
59,w
60,w
61,w
62,w
63,w
64,w
65,w
66,w
67,w
68,w
69,w
70,w
71,w
72,w
73,w
74,w
75,w
76,w
77,w
78,w
79,w
80,w
81,w
82,w
83,w
84,w
85,w
86,w
87,w
88,w
89,w
90,w
91,w
92,w
93,w
94,w
95,w
96,w
97,w
98,w
99,w
100,w
101,w
102,w
103,w
104,w
105,w
106,w
107,w
108,w
109,w
110,w
111,w
112,w
113,w
114,w
115,w
116,w
117,w
118,w
119,w
120,w
121,w
122,w
123,w
124,w
125,w
126,w
127,w
128,w
129,w
130,p
131,2
132,p
133,q
