Frame,Predict
18,y1
19,5
33,a
34,a
35,a
36,a
37,a
38,a
39,a
40,t
41,g
42,t
43,a
44,a
45,a
46,a
47,a
48,a
49,a
50,a
51,a
52,a
53,a
54,a
55,a
56,a
57,a
58,a
59,a
60,a
61,a
62,a
63,a
64,a
65,a
66,a
67,a
68,a
69,a
70,a
71,a
72,a
73,a
74,a
75,a
76,a
77,a
78,a
79,a
80,a
81,a
82,a
83,a
84,a
85,a
86,a
87,a
88,a
89,a
90,a
91,a
92,a
93,a
94,a
95,a
96,a
97,a
98,a
99,a
100,a
101,a
102,a
103,a
104,a
105,a
106,a
107,a
108,a
109,a
110,a
111,a
112,a
113,a
114,a
115,a
116,a
117,a
118,a
119,a
120,a
121,a
122,a
123,a
124,a
125,a
126,a
127,a
128,a
129,a
130,a
131,a
132,a
133,a
134,a
135,a
136,a
137,a
138,a
139,a
140,a
143,a
