Frame,Predict
16,r
17,r
18,r
19,r
20,2
21,2
22,2
23,2
24,2
25,k
26,k
27,k
28,k
29,k
30,k
31,k
32,k
33,k
34,k
35,k
36,k
37,2
38,2
39,2
40,k
41,k
42,k
43,k
44,2
45,2
46,2
47,2
48,2
49,k
50,2
51,k
52,k
53,k
54,k
55,k
56,k
57,k
58,k
59,k
60,k
61,k
62,k
63,k
64,k
65,k
66,k
67,k
68,k
69,k
70,k
71,k
72,k
73,k
74,k
75,k
76,k
77,k
78,k
79,k
80,k
81,k
82,k
83,k
84,k
85,k
86,k
87,k
88,k
89,k
90,k
91,k
92,k
93,k
94,k
95,k
96,k
97,k
98,k
99,k
100,k
101,k
102,k
103,k
104,k
105,k
106,k
107,k
108,k
109,k
110,k
111,k
112,k
113,k
114,k
115,k
116,k
117,k
118,k
119,k
120,k
121,k
122,k
123,k
124,k
125,k
126,k
127,k
128,k
129,k
130,k
131,k
132,k
