Frame,Predict
10,p
11,p
12,3
13,y1
14,y1
15,y1
16,y1
17,y1
18,c
19,c
20,c
21,c
22,c
23,c
24,c
25,c
26,c
27,c
28,c
29,c
30,c
31,c
32,c
33,c
34,c
35,c
36,c
37,c
38,c
39,c
40,c
41,c
42,c
43,c
44,c
45,c
46,c
47,c
48,c
49,c
50,c
51,c
52,c
53,c
54,w
55,3
56,3
57,3
58,3
59,h
60,h
61,h
62,h
63,h
64,h
65,h
66,h
67,h
68,h
69,h
70,h
71,h
72,h
73,h
74,h
75,h
76,h
77,h
78,h
79,h
80,h
81,h
82,h
83,h
84,h
85,h
86,h
87,h
88,h
89,h
90,h
91,h
92,h
93,h
94,h
95,h
96,h
97,h
98,h
99,h
100,h
101,h
102,h
103,l
104,3
105,3
106,3
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
