Frame,Predict
1,y1
2,q
3,q
4,q
5,q
6,q
7,q
8,q
9,q
10,q
11,q
12,q
13,q
14,q
15,q
16,q
17,q
18,q
19,q
20,q
21,q
22,q
23,q
24,q
25,q
26,q
27,q
28,q
29,q
30,q
31,q
32,q
33,q
34,q
35,q
36,q
37,q
38,q
39,q
40,q
41,q
42,q
43,q
44,q
45,q
46,q
47,q
48,q
49,q
50,p
51,p
52,p
53,p
54,q
55,p
56,d
57,l
58,l
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,d
103,1
