Frame,Predict
13,4
14,4
15,4
16,5
17,5
18,5
19,b
20,b
21,b
22,b
23,b
24,b
25,5
26,5
27,5
28,5
29,5
30,b
31,b
32,b
33,b
34,b
35,b
36,b
37,b
38,5
39,b
40,5
41,b
42,b
43,5
44,5
45,5
46,b
47,b
48,b
49,5
50,5
51,5
52,5
53,5
54,b
55,5
56,b
57,b
58,5
59,5
60,5
61,5
62,5
63,b
64,5
65,5
66,5
67,5
68,5
69,b
70,b
71,b
72,b
73,b
74,b
75,b
76,b
77,b
78,b
79,b
80,b
81,b
82,b
83,b
84,b
85,b
86,b
87,5
88,5
89,b
90,b
91,b
92,b
93,b
94,b
95,b
96,b
97,b
98,b
99,b
100,b
101,5
102,b
103,5
104,4
105,5
106,b
107,5
108,5
109,5
110,b
111,b
112,5
113,5
114,b
115,5
116,b
117,5
118,5
119,5
120,5
121,5
122,5
123,5
124,b
125,b
126,b
127,b
128,5
129,5
130,5
131,b
132,b
133,b
134,b
135,b
136,b
137,b
138,5
139,5
140,b
141,5
142,5
143,5
144,5
145,5
146,5
147,5
148,5
149,5
150,b
151,b
152,b
153,b
154,b
155,b
156,5
157,5
158,5
159,5
160,5
161,5
162,5
163,5
164,5
165,5
166,5
167,b
168,5
169,5
170,5
171,5
172,5
173,5
