Frame,Predict
18,s
19,s
20,s
21,s
22,n
23,n
24,n
25,s
26,s
27,s
28,s
29,s
30,s
31,s
32,s
33,s
34,s
35,s
36,s
37,s
38,s
39,s
40,s
41,s
42,s
43,s
44,s
45,s
46,s
47,s
48,s
49,s
50,s
51,s
52,s
53,s
54,s
55,s
56,s
57,s
58,s
59,s
60,s
61,s
62,s
63,s
64,s
65,s
66,s
67,s
68,s
69,s
70,t
71,s
72,s
73,s
74,s
75,t
76,s
77,t
78,t
79,t
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
