Frame,Predict
19,t
20,t
21,n
22,n
23,n
24,n
25,n
26,n
27,n
28,n
29,n
30,n
31,n
32,n
33,n
34,n
35,n
36,n
37,n
38,n
39,n
40,n
41,n
42,n
43,n
44,n
45,n
46,n
47,n
48,n
49,n
50,n
51,n
52,n
53,n
54,n
55,n
56,n
57,n
58,n
59,n
60,n
61,n
62,n
63,n
64,n
65,n
66,n
67,n
68,n
69,n
70,n
71,n
72,n
73,n
74,n
75,n
76,n
77,n
78,n
79,n
80,n
81,n
82,n
83,n
84,n
85,n
86,n
87,n
88,n
89,n
90,n
91,n
92,n
93,n
94,n
95,n
96,n
97,t
98,t
99,t
100,t
101,3
102,3
103,3
104,3
105,3
106,3
107,p
108,p
109,p
110,p
111,g
112,g
113,g
114,g
115,g
116,g
117,g
118,g
119,g
120,g
121,g
122,g
123,g
124,g
125,g
126,g
127,g
128,g
129,g
130,g
131,g
132,g
133,g
134,g
135,g
136,g
137,g
138,g
139,g
140,g
141,g
142,g
143,g
144,g
145,g
146,g
147,g
148,g
149,g
150,g
151,g
152,g
153,g
154,g
155,g
156,g
157,g
158,g
159,g
160,g
161,g
162,g
163,g
164,g
165,g
166,g
167,g
168,g
169,g
170,g
171,g
172,g
173,g
174,g
175,g
176,g
177,g
178,g
179,g
180,g
181,g
182,g
183,g
184,g
185,g
186,g
187,g
188,g
189,g
190,g
191,g
192,g
193,g
194,g
195,g
196,g
197,g
198,g
199,g
200,g
201,g
202,g
