Frame,Predict
8,y1
9,y1
10,y1
11,y1
12,y1
13,y1
14,y1
15,y1
16,y1
17,y1
18,a
19,a
20,y1
21,a
22,a
23,a
24,a
25,a
26,a
27,a
28,a
29,a
30,a
31,a
32,a
33,a
34,a
35,a
36,a
37,a
38,a
39,a
40,a
41,a
42,a
43,a
44,a
45,a
46,a
47,a
48,a
49,a
50,a
51,a
52,a
53,a
54,a
55,a
56,a
57,a
58,a
59,a
60,a
61,a
62,a
63,a
64,a
65,a
66,a
67,a
68,a
69,a
70,a
71,a
72,a
73,a
74,a
75,a
76,a
77,a
78,a
79,a
80,a
81,a
82,a
83,a
84,a
85,a
86,a
87,a
88,t
89,t
90,y2
91,y2
92,y2
93,y2
94,y2
95,y2
96,y2
97,y2
98,y2
99,y2
100,y2
101,y2
102,y2
103,y2
104,y2
105,y2
106,y2
107,y2
108,y2
109,y2
110,y2
111,y2
112,y2
113,y2
114,y2
115,y2
116,y2
117,y2
118,y2
119,y2
120,y2
121,y2
122,y2
123,y2
124,y2
125,y2
126,y2
127,y2
128,y2
129,y2
130,y2
131,y2
132,y2
133,y2
134,y2
135,y2
136,y2
137,y2
138,y2
139,y2
140,y2
141,y2
142,y2
143,y2
144,y2
145,y2
146,y2
147,y2
148,y2
149,y2
150,y2
151,y2
152,y2
153,y2
154,y2
155,y2
