Frame,Predict
9,l
10,l
11,l
12,l
13,l
14,l
15,l
16,l
17,l
18,l
19,l
20,l
21,l
22,l
23,l
24,l
25,l
26,l
27,l
28,l
29,l
30,l
31,l
32,l
33,l
34,l
35,l
36,l
37,l
38,l
39,l
40,l
41,l
42,l
43,l
44,l
45,l
46,l
47,l
48,l
49,l
50,l
51,l
52,l
53,l
54,l
55,l
56,l
57,l
58,l
59,l
60,l
61,l
62,l
63,l
64,l
65,l
66,l
67,l
68,l
69,d
70,d
71,r
72,r
73,r
74,r
75,r
76,d
77,r
78,r
79,r
80,r
81,r
82,r
83,r
84,r
85,r
86,r
87,r
88,r
89,r
90,r
91,r
92,r
93,r
94,r
95,r
96,r
97,r
98,r
99,r
100,r
101,r
102,r
103,r
104,r
105,r
106,1
107,r
108,r
109,r
110,r
111,r
112,r
113,r
114,r
115,r
116,r
117,r
118,r
119,r
120,r
121,r
122,r
123,r
124,r
125,r
126,r
127,r
128,r
129,r
130,r
131,r
132,r
133,r
134,r
135,r
136,r
137,r
138,r
139,d
140,d
141,d
142,d
143,1
144,1
