Frame,Predict
18,h
19,h
20,h
21,h
22,h
23,h
24,h
25,h
26,h
27,h
28,h
29,h
30,h
31,h
32,h
33,h
34,h
35,h
36,h
37,h
38,h
39,h
40,h
41,h
42,h
43,h
44,h
45,h
46,h
47,h
48,h
49,h
50,h
51,h
52,h
53,h
54,h
55,h
56,h
57,h
58,h
59,h
60,h
61,h
62,h
63,h
64,h
65,h
66,h
67,h
68,h
69,h
70,h
71,h
72,h
73,h
74,h
75,h
76,h
77,h
78,h
79,h
80,h
81,h
82,l
83,l
84,l
85,l
86,1
87,1
88,1
89,1
90,l
91,l
92,a
93,a
95,t
96,g
97,g
98,t
99,t
100,a
101,a
102,a
103,a
104,t
105,g
106,g
107,a
108,a
109,l
110,a
111,a
112,a
113,a
114,l
115,l
116,l
117,a
118,a
119,l
120,l
121,1
122,1
123,l
124,1
125,1
126,t
127,l
128,1
129,1
130,1
131,1
132,h
140,t
141,t
142,1
143,1
144,p
145,h
146,a
147,a
